runid, cl1et,cl1cp, cl2et, cl2cp, SSAS_TIME, DSAS_TIME, IRLM_TIME,  DDF_TIME,lock_req,unlock_req,claim_req,sync_xes_lock,synch_xes_unlock,tot_getpages,TOT_GETM_STORAGE,TOT_VAR_STORAGE,TOT_AGENT_LOC_STRG,TOT_AGENT_SYS_STRG,TOT_FIXED_STORAGE,TOT_GETM_STCK_STOR,A2GB_SHR_REALF_TS,A2GB_SHR_REALF_STK
"D170310A",+000001331.626667,+00000000394.246184,+000000982.440905,+00000000122.320469,+000000000016.669590,+000000000012.279220,+000000000000.356332,+000000000000.002638,+1.02905430000000E+007,+1.30441000000000E+005,+5.70253000000000E+005,+5.65950000000000E+004,+3.04840000000000E+004,+3.05535130000000E+007,+1.33000000000000E+000,+6.67000000000000E+000,+4.18000000000000E+000,+3.03000000000000E+000,+1.40000000000000E-001,+1.22200000000000E+001,+1.75470000000000E+002,+5.74600000000000E+001
"D170220A",+000001349.462868,+00000000396.041636,+000000990.341606,+00000000124.389939,+000000000017.034732,+000000000012.417259,+000000000000.358120,+000000000000.002610,+1.02862050000000E+007,+1.29003000000000E+005,+5.67328000000000E+005,+5.72530000000000E+004,+3.05280000000000E+004,+4.40011550000000E+007,+1.93000000000000E+000,+8.24000000000000E+000,+5.70000000000000E+000,+4.26000000000000E+000,+2.30000000000000E-001,+1.57000000000000E+001,+1.89200000000000E+002,+5.97400000000000E+001
"D170120B",+000001395.045562,+00000000397.736058,+000001036.851057,+00000000125.870393,+000000000016.955822,+000000000012.612318,+000000000000.345078,+000000000000.002759,+1.02853510000000E+007,+1.28723000000000E+005,+5.66771000000000E+005,+6.31690000000000E+004,+3.65310000000000E+004,+2.87090070000000E+007,+2.90000000000000E-001,+9.20000000000000E-001,+4.50000000000000E-001,+2.00000000000000E-001,+8.00000000000000E-002,+4.96000000000000E+000,+1.63700000000000E+001,+2.44300000000000E+001
"D170120B",+000001395.045562,+00000000397.736058,+000001036.851057,+00000000125.870393,+000000000016.955822,+000000000012.612318,+000000000000.345078,+000000000000.002759,+1.02853510000000E+007,+1.28723000000000E+005,+5.66771000000000E+005,+6.31690000000000E+004,+3.65310000000000E+004,+2.87090070000000E+007,+2.38000000000000E+000,+7.78000000000000E+000,+5.23000000000000E+000,+3.68000000000000E+000,+2.30000000000000E-001,+1.61800000000000E+001,+8.56900000000000E+001,+5.91300000000000E+001
"D170120B",+000001395.045562,+00000000397.736058,+000001036.851057,+00000000125.870393,+000000000046.241904,+000000000078.160061,+000000000004.448961,+000000000000.002839,+1.02853510000000E+007,+1.28723000000000E+005,+5.66771000000000E+005,+6.31690000000000E+004,+3.65310000000000E+004,+2.87090070000000E+007,+2.90000000000000E-001,+9.20000000000000E-001,+4.50000000000000E-001,+2.00000000000000E-001,+8.00000000000000E-002,+4.96000000000000E+000,+1.63700000000000E+001,+2.44300000000000E+001
"D170120B",+000001395.045562,+00000000397.736058,+000001036.851057,+00000000125.870393,+000000000046.241904,+000000000078.160061,+000000000004.448961,+000000000000.002839,+1.02853510000000E+007,+1.28723000000000E+005,+5.66771000000000E+005,+6.31690000000000E+004,+3.65310000000000E+004,+2.87090070000000E+007,+2.38000000000000E+000,+7.78000000000000E+000,+5.23000000000000E+000,+3.68000000000000E+000,+2.30000000000000E-001,+1.61800000000000E+001,+8.56900000000000E+001,+5.91300000000000E+001
"D170301C",+000001460.323898,+00000000400.386022,+000001101.233013,+00000000128.546682,+000000000018.905002,+000000000018.789688,+000000000000.384177,+000000000000.002974,+1.02870940000000E+007,+1.29314000000000E+005,+5.67922000000000E+005,+5.71730000000000E+004,+3.05800000000000E+004,+4.41667190000000E+007,+1.97000000000000E+000,+8.57000000000000E+000,+6.01000000000000E+000,+4.81000000000000E+000,+2.30000000000000E-001,+1.63300000000000E+001,+1.88810000000000E+002,+6.41800000000000E+001
"D170220A",+000003670.633198,+00000000475.211260,+000003375.161543,+00000000203.293830,+000000000017.034732,+000000000012.417259,+000000000000.358120,+000000000000.002610,+1.02957140000000E+007,+1.32266000000000E+005,+5.73583000000000E+005,+9.24426100000000E+006,+5.84297000000000E+005,+4.40011550000000E+007,+1.93000000000000E+000,+8.24000000000000E+000,+5.70000000000000E+000,+4.26000000000000E+000,+2.30000000000000E-001,+1.57000000000000E+001,+1.89200000000000E+002,+5.97400000000000E+001
"D170310A",+000003679.745979,+00000000474.907344,+000003380.948021,+00000000202.703404,+000000000016.669590,+000000000012.279220,+000000000000.356332,+000000000000.002638,+1.02958620000000E+007,+1.32333000000000E+005,+5.73690000000000E+005,+9.23993200000000E+006,+5.79815000000000E+005,+3.05535130000000E+007,+1.33000000000000E+000,+6.67000000000000E+000,+4.18000000000000E+000,+3.03000000000000E+000,+1.40000000000000E-001,+1.22200000000000E+001,+1.75470000000000E+002,+5.74600000000000E+001
"D170301C",+000004125.868045,+00000000500.988881,+000003840.061172,+00000000228.824681,+000000000018.905002,+000000000018.789688,+000000000000.384177,+000000000000.002974,+1.03923890000000E+007,+1.31632000000000E+005,+6.70909000000000E+005,+1.16117540000000E+007,+6.74448000000000E+005,+4.41667190000000E+007,+1.97000000000000E+000,+8.57000000000000E+000,+6.01000000000000E+000,+4.81000000000000E+000,+2.30000000000000E-001,+1.63300000000000E+001,+1.88810000000000E+002,+6.41800000000000E+001
